"COMPANY","ID","CATEGORY"
4561991,7845101,360
4561993,7845102,901
4561993,7845152,901
4561994,7845104,386
4561995,7845105,1047
4561996,7845106,373
4561997,7845107,1001
4561998,7845108,381
4561999,7845109,337
4562002,7845111,323
4562003,7845112,333
4562004,7845113,354
4562005,7845114,1022
4562008,7845116,1022
4562009,7845117,410
4562011,7845123,397
4562012,7845127,1022
4562012,7845944,641
4562013,7845130,329
4562014,7845132,316
4562014,7845154,1022
4562015,7845133,359
4562016,7845134,316
4562017,7845135,561
4562018,7845136,1022
4562018,7845148,1022
4562019,7845137,421
4562020,7845139,1022
4562021,7845143,316
4562022,7845145,802
4562023,7845146,1022
4562024,7845149,901
4562025,7845150,581
4562026,7845151,316
4562027,7845153,312
4562028,7845155,374
4562029,7845156,354
4562030,7845157,313
4562030,7845197,306
4562031,7845158,381
4562032,7845159,381
4562032,7845163,381
4562032,7845164,381
4562032,7845204,381
4562032,7845205,381
4562032,7845206,381
4562032,7845208,381
4562032,7845209,307
4562032,7845210,307
4562032,7845211,307
4562033,7845160,316
4562034,7845161,319
4562035,7845166,325
4562036,7845167,316
4562037,7845168,397
4562041,7845171,395
4562042,7845172,323
4562043,7845173,360
4562044,7845175,1022
4562045,7845176,360
4562046,7845177,386
4562046,7845193,414
4562047,7845178,333
4562048,7845179,1022
4562049,7845180,381
4562050,7845181,406
4562051,7845182,354
4562052,7845183,390
4562053,7845188,1022
4562054,7845189,392
4562055,7845190,1047
4562056,7845191,323
4562057,7845192,319
4562058,7845194,1040
4562059,7845195,349
4562059,7845227,981
4562060,7845196,346
4562061,7845202,381
4562062,7845203,380
4562063,7845207,1022
4562064,7845212,384
4562065,7845213,323
4562067,7845214,406
4562068,7845215,316
4562069,7845216,310
4562070,7845217,380
4562071,7845218,329
4562072,7845219,323
4562073,7845222,316
4562074,7845223,370
4562075,7845225,461
4562076,7845229,313
4562079,7845230,316
4562081,7845231,395
4562082,7845232,380
4562088,7845233,303
4562089,7845234,388
4562090,7845235,421
4562092,7845236,381
4562094,7845238,310
4562095,7845239,302
4562096,7845241,360
4562097,7845242,421
